Prefix,Species,Full Name,DNA_URL,MITO_URL,GFF_URL,CDS_URL
Aaoar1,Aaosphaeria arxii,'Aaosphaeria arxii CBS 175.79 v1.0',https://genome.jgi.doe.gov/portal/Aaoar1/download/Aaoar1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Aaoar1/download/Aaoar1_MitochondrionScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Aaoar1/download/Aaoar1.filtered_proteins.FilteredModels1.gff3.gz,https://genome.jgi.doe.gov/portal/Aaoar1/download/Aaoar1_GeneCatalog_CDS_20140429.fasta.gz
Abobi1,Abortiporus biennis,'Abortiporus biennis CCBS 521 v1.0',https://genome.jgi.doe.gov/portal/Abobi1/download/Abobi1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Abobi1/download/Abobi1_MitoAssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Abobi1/download/Abobi1_primary_alleles_20171023.gff3.gz,https://genome.jgi.doe.gov/portal/Abobi1/download/Abobi1_primary_alleles_CDS_20171023.fasta.gz
Abobie1,Abortiporus biennis,'Abortiporus biennis CIRM-BRFM1778 v1.0',https://genome.jgi.doe.gov/portal/Abobie1/download/Abobie1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Abobie1/download/Abobie1_MitoAssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Abobie1/download/Abobie1_GeneCatalog_20170621.gff3.gz,https://genome.jgi.doe.gov/portal/Abobie1/download/Abobie1_GeneCatalog_CDS_20170621.fasta.gz
Chlpad1,Absidia padenii,'Absidia padenii NRRL 2977 v1.0',https://genome.jgi.doe.gov/portal/Chlpad1/download/Chlpad1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Chlpad1/download/Chlpad1_MitoAssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Chlpad1/download/Chlpad1_GeneCatalog_20160815.gff3.gz,https://genome.jgi.doe.gov/portal/Chlpad1/download/Chlpad1_GeneCatalog_CDS_20160815.fasta.gz
Absrep1,Absidia repens,'Absidia repens NRRL 1336 v1.0',https://genome.jgi.doe.gov/portal/Absrep1/download/Absrep1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Absrep1/download/Absrep1_MitochondrionScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Absrep1/download/Absrep1_GeneCatalog_20160129.gff3.gz,https://genome.jgi.doe.gov/portal/Absrep1/download/Absrep1_GeneCatalog_CDS_20160129.fasta.gz
Acain1,Acaromyces ingoldii,'Acaromyces ingoldii MCA 4198 v1.0',https://genome.jgi.doe.gov/portal/Acain1/download/Acain1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Acain1/download/Acain1_MitochondrionScaffolds.fasta,https://genome.jgi.doe.gov/portal/Acain1/download/Acain1_GeneCatalog_genes_20150309.gff.gz,https://genome.jgi.doe.gov/portal/Acain1/download/Acain1_GeneCatalog_CDS_20150309.fasta.gz
Acema1,Acephala macrosclerotiorum,'Acephala macrosclerotiorum EW76-UTF0540 v1.0',https://genome.jgi.doe.gov/portal/Acema1/download/Acema1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Acema1/download/Acema1_MitochondrialScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Acema1/download/Acema1_GeneCatalog_genes_20150224.gff.gz,https://genome.jgi.doe.gov/portal/Acema1/download/Acema1_GeneCatalog_CDS_20150224.fasta.gz
Achstr1,Achaetomium strumarium,'Achaetomium strumarium CBS333.67 v1.0',https://genome.jgi.doe.gov/portal/Achstr1/download/Achstr1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Achstr1/download/Achstr1_MitoAssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Achstr1/download/Achstr1_GeneCatalog_20171031.gff3.gz,https://genome.jgi.doe.gov/portal/Achstr1/download/Achstr1_GeneCatalog_CDS_20171031.fasta.gz
Aciri1_meta,Acidomyces richmondensis,'Acidomyces richmondensis BFW',https://genome.jgi.doe.gov/portal/Aciri1_meta/download/Aciri1_meta_AssemblyScaffolds.fasta.gz,NO_mito_URL,https://genome.jgi.doe.gov/portal/Aciri1_meta/download/Aciri1_meta.filtered_proteins.FilteredModels1.gff3.gz,https://genome.jgi.doe.gov/portal/Aciri1_meta/download/Aciri1_meta_GeneCatalog_CDS_20111216.fasta.gz
Aciri1_iso,Acidomyces richmondensis,'Acidomyces richmondensis BFW' iso,https://genome.jgi.doe.gov/portal/Aciri1_iso/download/Aciri1_iso_AssemblyScaffolds.fasta.gz,NO_mito_URL,https://genome.jgi.doe.gov/portal/Aciri1_iso/download/Aciri1_iso.filtered_proteins.FilteredModels1.gff3.gz,https://genome.jgi.doe.gov/portal/Aciri1_iso/download/Aciri1_iso_GeneCatalog_CDS_20111207.fasta.gz
Aciaci1,Acidothrix acidophila,'Acidothrix acidophila CBS 136259 v1.0',https://genome.jgi.doe.gov/portal/Aciaci1/download/Aciaci1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Aciaci1/download/Aciaci1_MitochondrionScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Aciaci1/download/Aciaci1_GeneCatalog_20160228.gff3.gz,https://genome.jgi.doe.gov/portal/Aciaci1/download/Aciaci1_GeneCatalog_CDS_20160228.fasta.gz
Acral2,Acremonium alcalophilum,'Acremonium alcalophilum v2.0',https://genome.jgi.doe.gov/portal/Acral2/download/Acral2_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Acral2/download/Acral2_AssemblyScaffolds_mitochondria.fasta.gz,https://genome.jgi.doe.gov/portal/Acral2/download/Acral2.filtered_proteins.FilteredModels3_1.gff3.gz,https://genome.jgi.doe.gov/portal/Acral2/download/Acral2_GeneCatalog_CDS_20110414.fasta.gz
Acrchr1,Acremonium chrysogenum,'Acremonium chrysogenum ATCC 11550',https://genome.jgi.doe.gov/portal/Acrchr1/download/Acrchr1_AssemblyScaffolds.fasta.gz,NO_mito_URL,https://genome.jgi.doe.gov/portal/Acrchr1/download/Acrchr1_GeneCatalog_20170914.gff3.gz,https://genome.jgi.doe.gov/portal/Acrchr1/download/Acrchr1_GeneCatalog_CDS_20170914.fasta.gz
AcreTS7_1,Acremonium sp.,'Acremonium sp. TS7 v1.0',https://genome.jgi.doe.gov/portal/AcreTS7_1/download/AcreTS7_1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/AcreTS7_1/download/AcreTS7_1_MitoAssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/AcreTS7_1/download/AcreTS7_1_GeneCatalog_20190328.gff3.gz,https://genome.jgi.doe.gov/portal/AcreTS7_1/download/AcreTS7_1_GeneCatalog_CDS_20190328.fasta.gz
Acrst1,Acremonium strictum,'Acremonium strictum DS1bioAY4a v1.0',https://genome.jgi.doe.gov/portal/Acrst1/download/Acrst1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Acrst1/download/Acrst1_MitochondrionScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Acrst1/download/Acrst1.FilteredModels1.gff3.gz,https://genome.jgi.doe.gov/portal/Acrst1/download/Acrst1_GeneCatalog_CDS_20141022.fasta.gz
Agahy1,Agaricostilbum hyphaenes,'Agaricostilbum hyphaenes  ATCC MYA-4628 v1.0',https://genome.jgi.doe.gov/portal/Agahy1/download/Agahy1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Agahy1/download/Agahy1_MitoScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Agahy1/download/Agahy1.filtered_proteins.FilteredModels1.gff3.gz,https://genome.jgi.doe.gov/portal/Agahy1/download/Agahy1_GeneCatalog_CDS_20140307.fasta.gz
Agabi_varbisH97_2,Agaricus bisporus,'Agaricus bisporus var bisporus (H97) v2.0',https://genome.jgi.doe.gov/portal/Agabi_varbisH97_2/download/Abisporus_varbisporusH97.v2_AssembledScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Agabi_varbisH97_2/download/Abisporus_var_bisporus.mitochondrion.scaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Agabi_varbisH97_2/download/Agabi_varbisH97_2.filtered_proteins.FilteredModels3.gff3.gz,https://genome.jgi.doe.gov/portal/Agabi_varbisH97_2/download/Abisporus_varbisporusH97.v2.FilteredModels3.CDS.fasta.gz
Agabi_varbur_1,Agaricus bisporus,'Agaricus bisporus var. burnettii JB137-S8',https://genome.jgi.doe.gov/portal/Agabi_varbur_1/download/Abisporus_varburnettii.v2.unmasked.fasta.gz,NO_mito_URL,https://genome.jgi.doe.gov/portal/Agabi_varbur_1/download/Agabi_varbur_1.filtered_proteins.FilteredModels1.gff3.gz,https://genome.jgi.doe.gov/portal/Agabi_varbur_1/download/Abisporus_varburnettii.v2.FilteredModels1.cds.fasta.gz
Agrped1,Agrocybe pediades,'Agrocybe pediades AH 40210 v1.0',https://genome.jgi.doe.gov/portal/Agrped1/download/Agrped1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Agrped1/download/Agrped1_MitochondrialScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Agrped1/download/Agrped1_GeneCatalog_20190228.gff3.gz,https://genome.jgi.doe.gov/portal/Agrped1/download/Agrped1_GeneCatalog_CDS_20151110.fasta.gz
Agrpra2,Agrocybe praecox,'Agrocybe praecox OKM6292 v1.0',https://genome.jgi.doe.gov/portal/Agrpra2/download/Agrpra2_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Agrpra2/download/Agrpra2_MitoAssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Agrpra2/download/Agrpra2_GeneCatalog_20180618.gff3.gz,https://genome.jgi.doe.gov/portal/Agrpra2/download/Agrpra2_GeneCatalog_CDS_20180618.fasta.gz
